patrimonio;Descricao;dataBaixa;vidaUtil;valorBruto;depreciacao;valorLiquido
15954;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15955;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15956;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15957;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15958;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15959;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15960;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15961;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15962;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15963;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15964;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15965;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15966;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15967;BLOQUEADOR DE LINHA TELEFÔNICA;17/12/2019;5;37,5;28,75;8,75
15968;BLOQUEADOR DE LINHA TELEFÔNICA;17/12/2019;5;37,5;28,75;8,75
15969;BLOQUEADOR DE LINHA TELEFÔNICA;17/12/2019;5;37,5;28,75;8,75
15970;BLOQUEADOR DE LINHA TELEFÔNICA;17/12/2019;5;37,5;28,75;8,75
15971;BLOQUEADOR DE LINHA TELEFÔNICA;17/12/2019;5;37,5;28,75;8,75
15972;BLOQUEADOR DE LINHA TELEFÔNICA;17/12/2019;5;37,5;28,75;8,75
15973;BLOQUEADOR DE LINHA TELEFÔNICA;17/12/2019;5;37,5;28,75;8,75
15974;BLOQUEADOR DE LINHA TELEFÔNICA;17/12/2019;5;37,5;28,75;8,75
15975;BLOQUEADOR DE LINHA TELEFÔNICA;17/12/2019;5;37,5;28,75;8,75
15976;BLOQUEADOR DE LINHA TELEFÔNICA;17/12/2019;5;37,5;28,75;8,75
15977;BLOQUEADOR DE LINHA TELEFÔNICA;17/12/2019;5;37,5;28,75;8,75
15978;BLOQUEADOR DE LINHA TELEFÔNICA;17/12/2019;5;37,5;28,75;8,75
15979;BLOQUEADOR DE LINHA TELEFÔNICA;17/12/2019;5;37,5;28,75;8,75
15980;BLOQUEADOR DE LINHA TELEFÔNICA;17/12/2019;5;37,5;28,75;8,75
15981;BLOQUEADOR DE LINHA TELEFÔNICA;17/12/2019;5;37,5;28,75;8,75
15982;BLOQUEADOR DE LINHA TELEFÔNICA;17/12/2019;5;37,5;28,75;8,75
15983;BLOQUEADOR DE LINHA TELEFÔNICA;17/12/2019;5;37,5;28,75;8,75
15984;BLOQUEADOR DE LINHA TELEFÔNICA;17/12/2019;5;37,5;28,75;8,75
15985;BLOQUEADOR DE LINHA TELEFÔNICA;17/12/2019;5;37,5;28,75;8,75
15986;BLOQUEADOR DE LINHA TELEFÔNICA;17/12/2019;5;37,5;28,75;8,75
17682;EQUIPAMENTO INTERFACEAMENTO;17/12/2019;9;6743,92;4990,54;1753,38
18140;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;22;407,85;266,52;141,33
18172;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;22;407,85;266,52;141,33
18204;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;22;633,33;413,71;219,62
18209;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;22;633,33;413,71;219,62
18212;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;22;633,33;413,71;219,62
18216;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;22;633,33;413,71;219,62
18217;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;22;633,33;413,71;219,62
18219;APARELHO TELEFONICO KS COM TECLADO;17/12/2019;11;633,33;460,19;173,14
18225;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;22;633,33;413,71;219,62
18770;AMPLIFICADOR DE SINAL TELEFÔNICO;17/12/2019;20;5580;3720;1860
18904;FAC-SÍMILE ELETRÔNICO;17/12/2019;23;789;510,22;278,78
18906;FAC-SÍMILE ELETRÔNICO;17/12/2019;23;789;510,22;278,78
