id;descricao;estado;vidaUtil;valorResidual;valorAtual;depreciacao;depreAcumulada;valorAtual
7462;GELADEIRA TIPO FRIGOBAR;Bom;0;43,8;438;0;0;438
7463;GELADEIRA TIPO FRIGOBAR;Bom;0;43,8;438;0;0;438
7464;GELADEIRA TIPO FRIGOBAR;Bom;0;43,8;438;0;0;438
7465;GELADEIRA TIPO FRIGOBAR;Bom;0;43,8;438;0;0;438
7466;GELADEIRA TIPO FRIGOBAR;Bom;0;43,8;438;0;0;438
7467;GELADEIRA TIPO FRIGOBAR;Bom;0;43,8;438;0;0;438
7470;GELADEIRA TIPO FRIGOBAR;Bom;0;43,8;438;0;0;438
7471;CARRINHO DE MAO COM 03 RODAS;Bom;0;25;25;0;0;25
7477;LIXEIRA EM AÇO;Bom;0;13,5;13,5;0;0;13,5
7480;LIXEIRA EM AÇO;Bom;0;13,5;13,5;0;0;13,5
